cau_trong,dap_an,cau_goc
"Bán anh em xa, mua láng _____ gần.",giềng,"Bán anh em xa, mua láng giềng gần."
"Ăn cháo, đá _____",bát,"Ăn cháo, đá bát."
"Có công mài sắt, có ngày _____ kim.",nên,"Có công mài sắt, có ngày nên kim."
"Ai ơi bưng _____ cơm đầyDẻo thơm một hạt, đắng cay muôn phần.",bát,"Ai ơi bưng bát cơm đầyDẻo thơm một hạt, đắng cay muôn phần."
"Anh đi anh nhớ quê nhàNhớ canh rau muống, nhớ cà _____ tương.",dầm,"Anh đi anh nhớ quê nhàNhớ canh rau muống, nhớ cà dầm tương."
"Áo anh sứt chỉ đường tàVợ anh _____ có, mẹ già chưa khâu.",chưa,"Áo anh sứt chỉ đường tàVợ anh chưa có, mẹ già chưa khâu."
Công cha như núi Thái SơnNghĩa mẹ như nước trong nguồn chảy _____ lòng thờ mẹ kính chaCho tròn chữ hiếu mới là đạo con.,raMột,Công cha như núi Thái SơnNghĩa mẹ như nước trong nguồn chảy raMột lòng thờ mẹ kính chaCho tròn chữ hiếu mới là đạo con.
Dạy con từ thuở còn thơDạy vợ từ _____ bơ vơ mới về.,thuở,Dạy con từ thuở còn thơDạy vợ từ thuở bơ vơ mới về.
Anh em như thể _____ chân.,tay,Anh em như thể tay chân.
"Ăn ngay nói thật, mọi _____ mọi lành.",tật,"Ăn ngay nói thật, mọi tật mọi lành."
Chớ thấy _____ cả mà rã tay chèo.,sóng,Chớ thấy sóng cả mà rã tay chèo.
Cá lớn _____ cá bé.,nuốt,Cá lớn nuốt cá bé.
Con hơn cha là _____ có phúc.,nhà,Con hơn cha là nhà có phúc.
Đói cho _____ rách cho thơm.,sạch,"Đói cho sạch, rách cho thơm."
Đèn _____ ai nhà nấy rạng.,nhà,Đèn nhà ai nhà nấy rạng.
Gieo gió gặt bãoGiấy rách phải giữ _____ lề.,lấy,Gieo gió gặt bãoGiấy rách phải giữ lấy lề.
Gừng càng già _____ cay.,càng,Gừng càng già càng cay.
"Gió bấc hiu hiu, sếu kêu thì _____",rét,"Gió bấc hiu hiu, sếu kêu thì rét."
"Khéo ăn thì no, khéo co _____ ấm.",thì,"Khéo ăn thì no, khéo co thì ấm."
"Ăn một miếng, _____ để đời.",tiếng,"Ăn một miếng, tiếng để đời."
"Anh em nào phải người xaCùng chung bác mẹ, một nhà cùng thânYêu nhau như thể tay chânAnh em hòa _____ hai thân vui vầy.",thuận,"Anh em nào phải người xaCùng chung bác mẹ, một nhà cùng thânYêu nhau như thể tay chânAnh em hòa thuận, hai thân vui vầy."
Nhớ ai dãi nắng dầm sươngNhớ ai tát nước bên _____ hôm nao.,đường,Nhớ ai dãi nắng dầm sươngNhớ ai tát nước bên đường hôm nao.
Ai đưa con sáo sang sôngĐể cho _____ sáo sổ lồng bay ra.,con,Ai đưa con sáo sang sông Để cho con sáo sổ lồng bay ra.
Ăn _____ bát cháo chạy ba quãng đồng.,một,Ăn một bát cháo chạy ba quãng đồng.
"Bói ra ma, quét nhà ra _____",rác,"Bói ra ma, quét nhà ra rác."
"Anh về học lấy chữ _____ trăng em đợi, mười thu em chờ.",hươngChín,"Anh về học lấy chữ hươngChín trăng em đợi, mười thu em chờ."
"Bán quạt mùa đông, mua _____ mùa hè.",bông,"Bán quạt mùa đông, mua bông mùa hè."
Cái nết _____ chết cái đẹp.,đánh,Cái nết đánh chết cái đẹp.
Cái áo không _____ nên thầy tu.,làm,Cái áo không làm nên thầy tu.
"Chó cậy _____ nhà, gà cậy gần chuồng.",gần,"Chó cậy gần nhà, gà cậy gần chuồng."
Ăn cỗ đi _____ lội nước theo sau.,trước,"Ăn cỗ đi trước, lội nước theo sau."
_____ cá hai tay.,Bắt,Bắt cá hai tay.
"Ách giữa đàng, quàng _____ cổ.",vào,"Ách giữa đàng, quàng vào cổ."
Dĩ hòa vi _____,quí,Dĩ hòa vi quí.
Ăn có _____ đỗ có nơi.,chỗ,"Ăn có chỗ, đỗ có nơi."
Già _____ đứt giây.,néo,Già néo đứt giây.
Con gái mười bảy bẻ gẫy _____ trâu.,sừng,Con gái mười bảy bẻ gẫy sừng trâu.
Con _____ mẹ khen hay.,hát,Con hát mẹ khen hay.
Dùi _____ chấm nước mắm.,đục,Dùi đục chấm nước mắm.
"Cha mẹ sinh con, trời sinh _____",tính,"Cha mẹ sinh con, trời sinh tính."
"Bụt trên tòa, gà _____ mổ mắt.",nào,"Bụt trên tòa, gà nào mổ mắt."
"Giặc _____ nhà, đàn bà phải đánh.",đến,"Giặc đến nhà, đàn bà phải đánh."
Gậy ông đập _____ ông.,lưng,Gậy ông đập lưng ông.
_____ tiền liền khúc ruột.,Đồng,Đồng tiền liền khúc ruột.
Đời cha ăn _____ đời con khát nước.,mặn,"Đời cha ăn mặn, đời con khát nước."
"Ép dầu ép mỡ, ai nỡ ép _____",duyên,"Ép dầu ép mỡ, ai nỡ ép duyên."
"Gái có chồng _____ gông đeo cổ, gái không chồng như phản gỗ long đanh.",như,"Gái có chồng như gông đeo cổ, gái không chồng như phản gỗ long đanh."
_____ voi đuôi chuột.,Đầu,Đầu voi đuôi chuột.
Vợ chồng đầu _____ tay ấp.,gối,"Vợ chồng đầu gối, tay ấp."
Phận đàn em ăn thèm _____ nặng.,vác,Phận đàn em ăn thèm vác nặng.
"_____ ăn ba bữa, khó cũng đỏ lửa ba lần.",Giàu,"Giàu ăn ba bữa, khó cũng đỏ lửa ba lần."
"Vắng đàn ông quạnh nhà, vắng đàn bà quạnh _____",bếp,"Vắng đàn ông quạnh nhà, vắng đàn bà quạnh bếp."
Ác _____ tự hữu ác nhân ma.,nhân,Ác nhân tự hữu ác nhân ma.
Có bệnh thì vái tứ _____ không bệnh đồng lương không mất.,phương,"Có bệnh thì vái tứ phương, không bệnh đồng lương không mất."
Ăn cây nào rào _____ nấy.,cây,Ăn cây nào rào cây nấy.
Phú quý _____ lễ nghĩa.,sinh,Phú quý sinh lễ nghĩa.
"Cái răng, cái tóc là _____ con người.",góc,"Cái răng, cái tóc là góc con người."
Xem trong bếp biết _____ đàn bà.,nết,Xem trong bếp biết nết đàn bà.
Chó _____ mèo đậy.,treo,"Chó treo, mèo đậy."
"Rượu vào, _____ ra.",lời,"Rượu vào, lời ra."
"Ai _____ ba họ, ai khó ba đời.",giàu,"Ai giàu ba họ, ai khó ba đời."
"_____ cho roi cho vọt, ghét cho ngọt cho bùi.",Yêu,"Yêu cho roi cho vọt, ghét cho ngọt cho bùi."
Làm quan ăn lộc _____ ở chùa ăn lộc phật.,vua,"Làm quan ăn lộc vua, ở chùa ăn lộc phật."
"_____ đến nhà, đàn bà cũng đánh.",Giặc,"Giặc đến nhà, đàn bà cũng đánh."
"Chim có tổ, người có _____",tông,"Chim có tổ, người có tông."
Góp gió thành _____ góp cây nên rừng.,bão,"Góp gió thành bão, góp cây nên rừng."
Ái _____ như kỷ.,nhân,Ái nhân như kỷ.
Bụng _____ dạ chịu.,làm,Bụng làm dạ chịu.
_____ sự khởi đầu nan.,Vạn,Vạn sự khởi đầu nan.
"Giàu vì bạn, _____ vì vợ.",sang,"Giàu vì bạn, sang vì vợ."
"Giàu bán chó, _____ bán con.",khó,"Giàu bán chó, khó bán con."
"Sai con toán, _____ con trâu.",bán,"Sai con toán, bán con trâu."
"Anh em khinh trước, _____ nước khinh sau.",làng,"Anh em khinh trước, làng nước khinh sau."
Phép vua thua lệ _____,làng,Phép vua thua lệ làng.
"Cha mẹ ngoảnh đi con dại, cha mẹ _____ lại con khôn.",ngoảnh,"Cha mẹ ngoảnh đi con dại, cha mẹ ngoảnh lại con khôn."
Ẵm con _____ hơn bồng cháu ngoại.,chồng,Ẵm con chồng hơn bồng cháu ngoại.
"Biết _____ thưa thốt, không biết thì dựa cột mà nghe.",thì,"Biết thì thưa thốt, không biết thì dựa cột mà nghe."
Ăn _____ nhà thổi tù và hàng tổng.,cơm,Ăn cơm nhà thổi tù và hàng tổng.
"Ăn có nhai, _____ có nghĩ.",nói,"Ăn có nhai, nói có nghĩ."
Gió bấc _____ hiu sếu kêu thì rét.,hiu,Gió bấc hiu hiu sếu kêu thì rét.
Bà _____ xa không bằng láng giềng gần.,con,Bà con xa không bằng láng giềng gần.
Ở trong chăn mới _____ chăn có rận.,biết,Ở trong chăn mới biết chăn có rận.
Cá mè một _____,lứa,Cá mè một lứa.
"Ăn bát cơm dẻo, _____ nẻo đường đi.",nhớ,"Ăn bát cơm dẻo, nhớ nẻo đường đi."
Có công mài sắt có ngày _____ kim.,nên,Có công mài sắt có ngày nên kim.
"Con chẳng chê cha mẹ khó, chó _____ chê chủ nhà nghèo.",chẳng,"Con chẳng chê cha mẹ khó, chó chẳng chê chủ nhà nghèo."
_____ ăn miếng ngon chồng con trả người.,Hay,Hay ăn miếng ngon chồng con trả người.
"Được mùa quéo, _____ mùa chiêm.",héo,"Được mùa quéo, héo mùa chiêm."
Trâu đồng nào ăn cỏ _____ ấy.,đồng,Trâu đồng nào ăn cỏ đồng ấy.
Con sâu bỏ rầu _____ canh.,nồi,Con sâu bỏ rầu nồi canh.
Ở hiền _____ lành.,gặp,Ở hiền gặp lành.
Dâu dâu rể rể cũng kể là _____,con,Dâu dâu rể rể cũng kể là con.
"_____ không ăn, gạo còn đó.",Cơm,"Cơm không ăn, gạo còn đó."
"_____ về gạo, bạo về tiền.",Mạnh,"Mạnh về gạo, bạo về tiền."
Đóng cửa đi ăn _____,mày,Đóng cửa đi ăn mày.
Ở bầu thì _____ ở ống thì dài.,tròn,"Ở bầu thì tròn, ở ống thì dài."
Gái có công chồng chẳng _____,phụ,Gái có công chồng chẳng phụ.
"Giã gạo thì ốm, _____ cốm thì khoẻ.",giã,"Giã gạo thì ốm, giã cốm thì khoẻ."
Trâu bò húc _____ ruồi muỗi chết.,nhau,"Trâu bò húc nhau, ruồi muỗi chết."
"Khôn đâu đến trẻ, khỏe đâu _____ già.",đến,"Khôn đâu đến trẻ, khỏe đâu đến già."